Andy's key,Type,Name,Official-name,Code,Excluded,Territory belongs to,Territory belongs to code,Welsh,Passport applicant typos,Endonyms,Combined Synonyms,DWP Synonyms
country:GB,country,United Kingdom,The United Kingdom of Great Britain and Northern Ireland,GB,,,,Y Deyrnas Unedig,"Bitain,
Briain,
Britiain,
Brtain,
Englsnd,
Grat Britain,
Great Britan,
Gret Britain,
Scottland","Y Deyrnas Unedig,
Unitit Kinrick,
Rìoghachd Aonaichte,
Ríocht Aontaithe,
An Rywvaneth Unys","GB,
Great Britain,
England,
UK,
Wales,
Scotland,
Northern Ireland,
United Kingdom of Great Britain and Northern Ireland,
Britain,
U.K.",
country:US,country,United States,The United States of America,US,,,,Unol Daleithiau America,"Ameeri,
Ameica,
Amerca,
Amercia,
Ameria,
Amrica,
Anmerica,
Unit States,
Unite States,
United Sat,
United Staes,
United Stated,
United Stats,
United Sttes,
Unites States,
Untied State,
americia","Estados Unidos,
États-Unis,
Amelika-hui-pu-'ia","USA,
United States of America,
The States,
U.S.,
U.S.A.,
US,
USA",